Serial No.,Review
11,"For one week, I have been suffering from progressive sciatica pain in my left leg when standing. For the last two days, it has been an '8' on the pain scale when standing, with no relief from Tramadol, ibuprofen, Tylenol, or naproxen sodium. Today, I tried Ecotrin 500 mg with some relief.... Hopeful..."
12,"I have rheumatoid arthritis in my shoulders and hands. My doc has had me try several different NSAIDs for it. I was having the best results with plain old ibuprofen. But I was having to take 16 - 20 200 mg tablets a day. I saw Stanback at a local discount store and got 2 boxes. I was suffering terribly from the shoulder and hand pain and was willing to try anything. I tried Stanback, and it was like a miracle for me! If you're not familiar with Stanback, it is a headache powder you can either take mixed with a liquid or pour straight on the tongue. It's very old school but works well and doesn't even taste bad."
13,"After having ulcers, the doctor recommended Bufferin for pain, that was 40 years ago. I have relied on that and Extra Strength Bufferin since then. Since it was taken off the market, I have tried others, but they do not work as well. Please, please bring the Bufferin back."
14,"I have tried many brands of aspirin, but for some reason, Bufferin works the best. Only one store in my vicinity carries it, so we buy two bottles when it is on the shelf. Bufferin keeps swelling down throughout my body and even helps my son with his acne in a most visible way. I am convinced that there must be different grades of aspirin because Bufferin works better than the others."
15,"Have tried Motrin, Aleve, Tylenol for back pain, and nothing works as well. Take it with food and take a brand that is coated, and even the few side effects are lessened. It's still the safest and most effective in my personal view."
16,I have used this aspirin for about 30 years to help with rheumatoid arthritis. I miss it terribly when I have to stop it for tests or medical procedures. The coating helps to keep it from hurting my stomach.
17,"Aspirin is a wonder drug. If you take it with food, it won't hurt your stomach. I take Anacin (which is just another brand of aspirin). It has a small amount of caffeine. It works great. It reduces my back pain in only an hour. I take just half an Anacin tablet (half of a 400 mg pill) once per day. Anacin has been on the market for over 100 years."
18,I have been using 150 mg of aspirin every day for the last 4 years. I have confirmed diabetes and borderline high blood pressure. I don't find any side effects. The rest of the health parameters are okay.
19,"The aspirin may be beneficial to my heart condition but the side effects are unbearable. I was already on warfarin with no side effects. Combined with the aspirin my dose of warfarin was reduced. Since adding the aspirin my periods have become so long and heavy and I can't leave the house for 2 weeks at a time unless I have access to a bathroom every hour. Besides waking up every hour during the night to change protection, I'm exhausted and weak from the blood loss. I take 2 iron supplements a day to keep afloat. Probably a very easy-to-use drug for anyone without a working uterus."
20,"All the different NSAIDs and OTC painkillers have a different effect for sure. I prefer this kind over some others. This does well to reduce my fevers. And it seems to be easier on my intestines than some others. I like it. If I am in bed with a fever, drink a glass of watered-down juice, eat a slice of bread and cheese. Take a dose, and lay down. Hopefully, sleep!"
21,"Due to  intestinal bleeding, I cannot take typical NSAIDs for heart attack preventative care.  However, because of the 'buffering'/magnesium in this product, I can, but in small doses.  I cannot find 81 mg of Bufferin so I take a 326 mg tablet and quarter it, taking it in the evening, 98% of the time without a bleeding problem.  When I have joint pain, I may double it but then bleeding can become a problem, again."
22,"What I told my Physical Therapist today, about what Tylenol does as far as helping my pain goes, that it curbs the sharp, piercing, type of pain that is not tolerable. My Chronic Osteo, plus many Fractures, Replacements and Removals. Told I have very, thin, long Bones, and Painful, Avascular Necrosis. I also have had many injuries, most recently, from Seizures, slips and falls. Suggestions for the best Pain Meds. for regular 7- 10 Pain #'s ? Unmanageable."
23,"I liked it at first until I started seeing bruising on different parts of my body like on arm. I will discontinue use for it to stop. Not 100% sure this caused it, but when I started meds that's when I saw it. Anyone else notice this?"
24,"I have used Arthritis Strength BC powder for years, and it definitely helps me get through the day. It is a 1000 mg powdered aspirin in an envelope and is fast-acting because of the powdered form. I take it at least once a day."
