Serial No.,Review
13,"I'm 34 years old and my DH and I have been TTC on and off for 10 years. I was diagnosed with 'unexplained' infertility. I switched doctors, she diagnosed me with PCOS and prescribed me metformin. I took it for a month (my dose of metformin was one 500-milligram tablet daily for 2 weeks, then 2 a day) and took a pregnancy test. For the first time in my life, I received a positive!! At my first appointment, it was determined that I had an ectopic pregnancy. It was devastating. I had to wait 3 months after that to start trying again; however, I'm convinced the metformin worked! Good luck to you all!! I'll update when/if we get our miracle. Keep the faith, ladies! Lots of prayers to those struggling to conceive. May God bless you all."
14,"My husband was diagnosed with type 2 diabetes over 10 years ago. Started with metformin, but the numbers were jumping high. So the doctor added another one, but numbers were still out of range. Then another pill, and talk of insulin, the next option. A blood pressure pill was added to protect the kidneys. The past summer, my husband joined me on the keto lifestyle as well as intermittent fasting. He went off all meds (the doctor knew). His glucose readings were great. But the doctor told him that he wanted him to get back on metformin because the latest research showed that it can extend one's life and is good for the heart. My husband did not want to do this, but I pushed, and he started back on it. Well, almost immediately, his blood sugar spiked into the low 200s, then mid-200s. He went off it, and within 48 hours, his numbers were down. He is in the 80s to low 100s doing keto & fasting."
15,"I'd like to share a very positive experience with Metformin. I was diagnosed with Polycystic ovarian syndrome after very irregular periods and anovulatory cycles. I already worked out regularly and was a healthy weight. My husband and I tried for a very long time to conceive and were starting to lose hope. My doctor prescribed 1500mg per day. I experienced mild stomach discomfort and no other side effects. The first month, my cycle length was cut in half, and the second month, I got pregnant! I never thought the day would come that I would see a positive pregnancy test. I continued the Metformin through my first trimester, and we now have a perfect baby boy. Keep your head up and give it a try...I am so thankful that I did!"
16,"This medication has changed my life! I only regret that I did not take it sooner (like in my 20s). After suffering through years of acne and struggling to get pregnant when I wanted (frustrating business when you're not ovulating at all) and people constantly asking if I was pregnant (due to my big fat tummy that I could never get rid of), I finally found Metformin. Now, not only has my skin cleared up, my weight also came off, and I was able to have my beautiful 4th child easily because my periods have become bang on regular. I am so blessed to have had four children with polycystic ovarian syndrome, but it was a long road trying for most of them. This medicine has changed my life in that it has given me ME back - the confident me I am supposed to be."
17,"I tried regular metformin and the extended release, and my stomach just cannot handle it. I had severe stomach cramping and uncontrollable diarrhea...meaning when it hit, there was no warning and no time to get to the bathroom. I tried with meals, with milk, without meals, and nothing could allow me to tolerate it."
18,"I just started metformin 16 days ago. Explosive bowel motion probably most accurately describes my initial experience. It already seems to be getting better. I've lost 21 lbs, 233 to 212, in the past 16 days. My blood sugar went from 300's to 90's."
19,"This drug gave me terrible stomach cramps that would start 3 hours after each dose, followed by watery diarrhea for hours! I searched for answers and suggestions and found one to be my saving grace! Eat half your meal, take your pill, and then finish your second half of the meal. This equals no more stomach cramps and no diarrhea!"
20,"I have a mental illness, and the meds I'm on caused me to gain a little extra weight. There was no way I wanted to change my mental health meds as I didn't want to fall back into the hospital again. Anyway, to cut the story short, I was prescribed metformin months ago. I was 98.2 kg. I am now 93.5 kg. I am happy I am losing the weight. I have cut down on all the junk foods and added more fruit and salads to my diet. It also has helped me with waking up during the night and wanting to eat. I hope to lose more, but time will tell."
21,"I’ve been on this medication for a short period of time. I’m taking 1000 mg of IR per day, and so far none of those scary side effects many people have mentioned. I’ve had mild stomach cramps and nausea that lasts maybe 10 minutes a day. Definitely a reduction in appetite, however. I also am having fewer mood swings, thank goodness. I’m really hoping this will help with weight loss! I will update this review in a month or two."
22,"My husband was diagnosed with Metabolic Syndrome and prescribed 4 metformin a day by an endocrinologist after being misdiagnosed by our GP for hypothyroidism for months and being extremely tired and depressed. He had gained so much belly fat... and was 207 and 5ft 3 in!, not good. But after being one month on the metformin, he lost 20 lbs. This was in addition to limiting carbs in his diet. He feels so much better. He has so much more energy. And the weight continues to melt right off of his belly. We are so glad we decided to go to the endocrinologist. He was spot on! In a few months, I will have my slim husband back."
23,"I've only been on Metformin for about a month and a half. I've lost about 12 lbs, which is pretty cool because I've never had any success with calorie counting or different diets. I do have stomach cramps, occasional diarrhea, and dizziness, but nothing too bad. I'm only on 500mg twice daily. I'm actually really amazed with this medication. It makes me feel fine, I have my energy back, not constantly craving sweets and caffeine. Overall, I have to give it a ten."
24,"When I was 28, I took Metformin. Within a month, I got pregnant. I have PCOS. I couldn't figure out why all these years I couldn't get pregnant, so the doctor did blood work. And it was my insulin because I have PCOS. And now I am 30. I just started back taking the Metformin again because I'm trying to have another baby. And I'm taking prenatal vitamins. Good luck on trying to get pregnant. Sending baby dust y'all's way. And mine."
25,"I hadn't been to the doctor in years for a regular checkup. I noticed that over the course of 10 years, I had steadily gained weight despite eating fairly healthy. I chalked it up to menopause and stress. I went to my PCP because I was having anxiety issues. She ran labs. I was told that I was 'obese,' my A1C was 6.4, and my glucose was 100 (I had just eaten lunch). I was put on a 500 mg dose with dinner. I haven't changed my diet, I was already eating fairly healthy, but I have lost 10 pounds in 10 days! I was light-headed the first few nights and had loose stools around day 3. But other than that, I feel great! I will report back after my next A1C check in May."
